id,is_fraud,days_since_policy_start,claim_amount,num_prior_claims_12mo,submission_delay_days,incident_time_of_day,provider_claim_frequency,claim_vs_policy_limit_ratio
TRAIN-00001,True,350,34767.65,4,0,0,13,1.06
TRAIN-00002,True,44,85851.02,1,1,0,10,1.123
TRAIN-00003,True,353,45522.48,4,0,1,11,1.054
TRAIN-00004,True,3,74127.42,0,0,3,13,0.93
TRAIN-00005,True,351,29633.2,3,0,1,13,1.034
TRAIN-00006,True,7,31363.66,1,0,3,9,1.144
TRAIN-00007,True,51,78801.91,2,180,4,15,1.056
TRAIN-00008,True,4,79503.85,0,1,2,6,0.994
TRAIN-00009,True,34,63486.25,4,318,5,10,1.007
TRAIN-00010,True,357,63774.51,0,0,2,12,0.853
TRAIN-00011,True,365,38328.69,2,299,5,6,0.876
TRAIN-00012,True,363,86214.02,4,0,1,7,0.993
TRAIN-00013,True,351,52329.52,4,358,5,5,1.017
TRAIN-00014,True,351,84690.39,5,0,1,14,1.048
TRAIN-00015,True,360,75133.43,2,1,0,6,0.885
TRAIN-00016,True,3,50866.9,4,336,3,7,1.156
TRAIN-00017,True,39,49001.62,4,244,4,10,1.055
TRAIN-00018,True,47,25676.88,4,0,3,5,0.884
TRAIN-00019,True,41,53446.42,1,225,3,15,1.124
TRAIN-00020,True,3,40570.36,3,0,3,9,1.004
TRAIN-00021,True,14,92928.04,5,0,5,6,1.031
TRAIN-00022,True,30,62691.64,4,0,4,9,1.067
TRAIN-00023,True,7,71545.06,4,1,2,14,0.986
TRAIN-00024,True,356,92188.24,3,203,5,5,1.194
TRAIN-00025,True,352,65296.96,2,0,0,13,1.023
TRAIN-00026,True,354,94152.47,5,1,5,15,1.111
TRAIN-00027,True,357,45000.97,2,0,2,11,0.986
TRAIN-00028,True,42,26367.24,3,0,3,12,0.934
TRAIN-00029,True,13,89367.91,3,0,3,8,0.935
TRAIN-00030,True,5,77431.7,5,0,2,8,1.068
TRAIN-00031,True,364,36745.24,4,0,2,6,1.132
TRAIN-00032,True,57,33473.85,4,1,5,12,1.184
TRAIN-00033,True,15,76365.67,2,1,2,12,0.986
TRAIN-00034,True,11,47750.99,2,251,4,8,0.995
TRAIN-00035,True,50,80505.3,1,0,3,10,0.981
TRAIN-00036,True,33,33368.83,4,0,3,9,0.872
TRAIN-00037,True,12,63735.13,1,0,3,9,0.991
TRAIN-00038,True,32,28752.64,3,0,2,12,1.035
TRAIN-00039,True,49,78391.6,2,0,1,12,0.893
TRAIN-00040,True,32,43518.82,3,1,2,9,1.13
TRAIN-00041,True,44,53175.6,3,0,5,8,1.134
TRAIN-00042,True,54,65337.29,1,1,4,11,1.068
TRAIN-00043,True,363,91163.55,3,0,3,11,1.007
TRAIN-00044,True,365,39249.08,5,1,5,11,1.197
TRAIN-00045,True,8,75162.23,2,1,2,7,0.91
TRAIN-00046,True,6,45898.91,5,0,2,8,0.896
TRAIN-00047,True,363,74365.95,2,306,3,12,1.164
TRAIN-00048,True,43,30237.98,2,1,4,12,0.814
TRAIN-00049,True,37,93483.64,4,1,3,10,0.898
TRAIN-00050,True,10,85958.77,1,0,3,12,1.071
TRAIN-00051,True,364,45940.8,3,230,0,9,0.918
TRAIN-00052,True,30,79481.81,5,1,1,15,0.855
TRAIN-00053,True,351,50540.29,5,1,3,12,0.918
TRAIN-00054,True,13,92655.01,4,203,2,15,0.952
TRAIN-00055,True,6,68368.28,2,0,5,5,0.922
TRAIN-00056,True,37,56755.06,4,1,1,9,0.948
TRAIN-00057,True,357,72997.62,5,0,3,14,0.82
TRAIN-00058,True,55,83087.25,3,217,2,7,1.147
TRAIN-00059,True,1,26104.68,1,0,4,14,1.113
TRAIN-00060,True,44,29257.78,2,0,0,7,1.053
TRAIN-00061,True,42,56760.08,0,0,5,11,0.981
TRAIN-00062,True,353,42842.29,3,203,1,7,1.035
TRAIN-00063,True,9,86152.52,2,1,4,6,1.023
TRAIN-00064,True,13,84160.86,4,335,0,10,0.873
TRAIN-00065,True,10,93026.72,3,1,3,6,0.862
TRAIN-00066,True,352,58996.32,2,0,5,8,1.04
TRAIN-00067,True,4,78491.26,1,1,5,10,1.145
TRAIN-00068,True,7,65303.14,4,1,4,6,0.842
TRAIN-00069,True,10,46719.22,2,0,2,15,0.895
TRAIN-00070,True,35,78140.67,5,298,3,7,0.988
TRAIN-00071,True,5,30193.35,0,1,4,5,1.124
TRAIN-00072,True,360,92040.57,4,0,4,14,0.949
TRAIN-00073,True,363,28665.59,2,0,2,7,0.924
TRAIN-00074,True,34,30930.33,3,0,0,9,0.886
TRAIN-00075,True,4,84109.99,4,0,4,14,0.866
